keyword,date,freq,uniq_users,source,source_rank,raw_heat,raw_heat_unit
自觉同人民想在一起、干在一起,2026-05-29,1000,0,baidu,1,790.4,万
电车是时候交“养路费”了,2026-05-29,988,0,baidu,2,780.8,万
14人被骗地铁上班数月 每天敬礼打卡,2026-05-29,976,0,baidu,3,771.4,万
为什么是“六张网”,2026-05-29,964,0,baidu,4,761.9,万
“没有下周了 下周高考了”,2026-05-29,952,0,baidu,5,752.2,万
俩男孩到派出所休息被投喂后主动干活,2026-05-29,940,0,baidu,6,742.6,万
八旬老人打麻将遭拒 子女制作免责卡,2026-05-29,928,0,baidu,7,733.3,万
北京致谢全体市民：戴头盔已蔚然成风,2026-05-29,915,0,baidu,8,723.4,万
奚梦瑶何猷君将在法国办婚礼,2026-05-29,903,0,baidu,9,713.5,万
年欠费超200亿 多地追缴停车逃单,2026-05-29,891,0,baidu,10,704.4,万
