seed,candidate,cooccur
"笔记本电脑","笔记",47
"笔记本电脑","电脑",47
"笔记本电脑","笔记本",47
"笔记本电脑","笔记本电脑",47
"笔记本电脑","500g",1
"笔记本电脑","硬盘",1
"口红","红色",1
"口红","口红",26
"口红","推荐",3
"面膜","一",39
"面膜","叶子",39
"面膜","面膜",125
"面膜","怎么",48
"面膜","怎么样",43
"平板电脑","紫光",2
"平板电脑","电子",2
"平板电脑","平板",15
"平板电脑","电脑",15
"平板电脑","怎么",3
"平板电脑","怎么样",3
"洗发水","吏努比",1
"洗发水","洗发",18
"洗发水","发水",18
"洗发水","洗发水",18
"洗发水","好",8
"洗发水","吗",4
"口红","什么",6
"口红","牌子",1
"口红","好用",2
"面膜","敷",7
"面膜","春雨",1
"面膜","需要",1
"面膜","洗脸",1
"面膜","吗",10
"笔记本电脑","滴滴",1
"笔记本电脑","滴响",1
"口红","麦克",1
"口红","侬",1
"口红","怎么",2
"口红","怎么样",2
"面膜","怀孕",1
"面膜","可以",6
"面膜","用",7
"面膜","猪皮",1
"口红","罗兰",3
"口红","圣罗兰",3
"口红","橘色",2
"口红","系",2
"面膜","sum37",1
"面膜","泡泡",1
"口红","美宝莲",1
"口红","的",7
"口红","好",3
"口红","气色",1
"口红","樱桃",1
"口红","桃红",1
"口红","樱桃红",1
"口红","05",1
"面膜","鸡蛋",1
"面膜","能",3
"面膜","和",2
"面膜","什么",5
"面膜","做",5
"面膜","黄瓜",3
"面膜","的",15
"面膜","功效",4
"面膜","泥",1
"面膜","涂",1
"笔记本电脑","什么",13
"笔记本电脑","牌子",14
"笔记本电脑","好",15
"面膜","几天",1
"面膜","一次",1
"面膜","最好",2
"面膜","水",4
"面膜","光",3
"面膜","多少",6
"面膜","钱",6
"面膜","一盒",5
"面膜","可莱丝",2
"面膜","卡通",2
"蓝牙耳机","蓝牙",7
"蓝牙耳机","耳机",7
"蓝牙耳机","充满",1
"蓝牙耳机","电有",1
"蓝牙耳机","什么",1
"蓝牙耳机","提示",1
"平板电脑","清华",1
"面膜","韩国",3
"面膜","樱花",1
"面膜","味道",1
"洗发水","很多",1
"洗发水","都",1
"洗发水","很",1
"洗发水","用",1
"洗发水",",",1
"洗发水","没有",1
"洗发水","头屑",1
"洗发水","英语",1
"洗发水","箭牌",1
"洗发水","好用",1
"平板电脑","台",7
"平板电脑","电",7
"面膜","馥佩",1
"面膜","荧光",2
"面膜","剂",2
"面膜","安娜",1
"面膜","安娜苏",1
"面膜","深层",1
"面膜","清洁",3
"面膜","hydra",1
"面膜","soother",1
"面膜","mask",1
"口红","唇",1
"口红","釉",1
"口红","还是",1
"笔记本电脑","sniper",1
"笔记本电脑","在",1
"笔记本电脑","哪",1
"蓝牙耳机","大概",1
"蓝牙耳机","多少",1
"蓝牙耳机","钱",1
"面膜","欧莱雅",1
"平板电脑","两千",1
"平板电脑","以内",1
"平板电脑","的",1
"面膜","要",2
"面膜","多久",1
"面膜","时间",1
"面膜","选",1
"面膜","珠光",2
"面膜","还是",1
"面膜","没",1
"笔记本电脑","黑屏",4
"笔记本电脑","怎么",7
"笔记本电脑","怎么办",2
"口红","高中",1
"口红","女生",1
"口红","高中女生",1
"口红","适合",4
"口红","用",1
"洗发水","迷丝香",1
"面膜","佰肤",2
"面膜","草",2
"面膜","多肽",1
"面膜","驻颜",1
"面膜","修护",2
"面膜","原液",1
"面膜","蚕丝",2
"洗发水","什么",3
"洗发水","牌子",3
"面膜","膜法",1
"面膜","世家",1
"面膜","揭开",1
"面膜","排行",1
"面膜","排行榜",1
"面膜","10",1
"面膜","强",1
"笔记本电脑","联想",2
"笔记本电脑","排行",2
"笔记本电脑","排行榜",2
"面膜","绿豆",9
"面膜","豆粉",1
"面膜","绿豆粉",1
"面膜","危害",1
"洗发水","国产",1
"洗发水","品牌",2
"洗发水","排行",2
"洗发水","排行榜",2
"洗发水","哪",3
"洗发水","种",3
"洗发水","脱发",3
"洗发水","防脱发",3
"洗发水","效果",3
"面膜","油性",1
"面膜","皮肤",1
"面膜","油性皮肤",1
"面膜","diy",1
"口红","皮肤",2
"口红","较",1
"口红","黑",1
"口红","颜色",3
"洗发水","沙宣",1
"洗发水","含",1
"洗发水","硅油",1
"羽绒服","波司登",1
"羽绒服","羽绒",6
"羽绒服","羽绒服",6
"口红","美丽",1
"口红","誓言",1
"面膜","美肌",1
"面膜","男",1
"面膜","影响",1
"面膜","喝酒",1
"笔记本电脑","触手",1
"口红","士林",1
"口红","凡士林",1
"口红","自制",1
"口红","40",1
"口红","+",1
"口红","中年",1
"口红","中年人",1
"面膜","每天",1
"面膜","都",1
"洗发水","豆蔻",1
"洗发水","怎么",1
"洗发水","洗",1
"面膜","天天",2
"面膜","青瓜",1
"面膜","自制",2
"面膜","牛奶",2
"面膜","蜂蜜",2
"面膜","美白",4
"笔记本电脑","忽然",1
"笔记本电脑","关机",1
"笔记本电脑","开机",4
"笔记本电脑","没",1
"笔记本电脑","反应",1
"笔记本电脑","了",2
"口红","德国",1
"面膜","laneige",1
"面膜","/",2
"面膜","兰芝",1
"面膜","臻",1
"面膜","白",1
"面膜","睡眠",2
"面膜","补水",4
"面膜","保",1
"面膜","?",1
"面膜","百度",1
"笔记本电脑","才能",1
"笔记本电脑","上网",2
"口红","平价",1
"面膜","kose",1
"面膜","cosmeport",1
"面膜","使用",1
"面膜","说明",1
"手机壳","walabot",1
"手机壳","手机",10
"手机壳","壳",9
"洗发水","和",1
"洗发水","杨洋",1
"洗发水","拍",1
"洗发水","广告",1
"洗发水","的",1
"洗发水","女孩",1
"面膜","价格",3
"面膜","价格表",3
"平板电脑","惠凯",1
"平板电脑","多少",1
"平板电脑","钱",1
"面膜","有",4
"面膜","哪些",2
"面膜","牌子",2
"笔记本电脑","苹果",1
"笔记本电脑","上",1
"笔记本电脑","咋",1
"笔记本电脑","装",1
"笔记本电脑","dnf",1
"面膜","雪花",1
"面膜","秀",1
"面膜","拉丝",1
"面膜","从",1
"面膜","下",1
"面膜","往",1
"面膜","上",1
"面膜","撕",2
"笔记本电脑","经常",1
"笔记本电脑","用",2
"笔记本电脑","开",2
"笔记本电脑","wifi",1
"笔记本电脑","吗",1
"面膜","3d",1
"手机壳","华为",1
"手机壳","5s",1
"笔记本电脑","搜索",2
"笔记本电脑","不到",2
"笔记本电脑","无线",3
"笔记本电脑","线网",2
"笔记本电脑","网络",2
"笔记本电脑","无线网",2
"笔记本电脑","无线网络",2
"面膜","zuzu",1
"面膜","脸上",2
"面膜","火辣",1
"面膜","火辣辣",1
"面膜","回事",1
"面膜","怎么回事",1
"面膜","相关",1
"面膜","过期",1
"面膜","还",1
"口红","尿道",1
"口红","道口",1
"口红","尿道口",1
"口红","红肿",1
"口红","性病",1
"面膜","蔻",1
"面膜","辰",1
"面膜","卖点",1
"笔记本电脑","ips",1
"笔记本电脑","屏幕",1
"笔记本电脑","一般",1
"笔记本电脑","满电",1
"笔记本电脑","多长",1
"笔记本电脑","时间",1
"笔记本电脑","长时间",1
"笔记本电脑","多长时间",1
"平板电脑","买",1
"平板电脑","什么",1
"平板电脑","最好",1
"运动鞋","裙子",1
"运动鞋","配",1
"运动鞋","运动",7
"运动鞋","运动鞋",6
"面膜","撕拉",1
"面膜","毛孔",1
"面膜","会",2
"面膜","变大",1
"笔记本电脑","设置",2
"笔记本电脑","美式",1
"笔记本电脑","键盘",3
"羽绒服","2.15",1
"羽绒服","年",1
"羽绒服","韩板",1
"面膜","最新",1
