query_time,user_id,query,result_rank,click_rank,click_url,matched_seed
00:01:41,7976658329072028,神舟笔记本电脑如何,2,1,iask.sina.com.cn/b/1995057.html,笔记本电脑
00:02:28,7976658329072028,神舟笔记本电脑如何,9,2,wenwen.soso.com/z/q16818741.htm,笔记本电脑
00:03:19,9705131250328223,敷完面膜后怎样护肤,1,1,zhidao.baidu.com/question/7645202,面膜
00:05:40,1878542021941006,笔记本电脑销售排名,3,1,www.yesky.com/477/1704977.shtml,笔记本电脑
00:10:46,9028561568108053,笔记本电脑,1,5,"click.cpc.sogou.com/bill_search?p=ODZDo7$i4AOwygPdl2ylllrAlyll4eS2lFwXnF7maDONllllGSVjlb43sGWesrgXe2ylllll&q=cGlkPXNvZ291JnI9MjAmaD0xNjg0NDQ3MjAmdj0xJmM9TAA=&url=http://smartkeyword.allyes.com/main/adfclick%3Fdb=smartkeyword%26bid=1,101,4%26cid=1,0,0%26kv=kvid/259466%26show=ignore%26url=http://www.sonystyle.com.cn/products/vaio/index.htm%3FidObj=tz3",笔记本电脑
00:12:49,9028561568108053,笔记本电脑,2,6,click.cpc.sogou.com/bill_search?p=Wj2WFdCDo82wygPdlxcll4TFlZlxnwcClF3uTR7maDONllllGSVjlE43sGWesrgXe2ylllll&q=cGlkPXNvZ291JnI9MjAmaD0xNjg0NDQ3MjAmdj0xJmM9TAA=&url=http://www.hzysm.com,笔记本电脑
00:16:28,8171796278394714,敷完面膜后怎样护肤,1,3,zhidao.baidu.com/question/7645202,面膜
00:19:01,1878542021941006,笔记本电脑销售排名,3,2,www.yesky.com/477/1704977.shtml,笔记本电脑
00:28:03,6406363071518314,洗发水配方,2,4,www.zhong-yao.net/Article/24088.html,洗发水
00:28:29,6406363071518314,洗发水配方,4,5,www.npicp.com/tradeinfo/offerdetail/39-1275-4146-387067.html,洗发水
00:31:11,6406363071518314,洗发水利润,3,6,zhidao.baidu.com/question/7104719,洗发水
00:31:30,6406363071518314,洗发水利润,1,7,bbs.club.sohu.com/rs-mszt00-133-163797-163797-1192502448.html,洗发水
00:31:51,6406363071518314,洗发水利润,5,8,www.myoic.com/CForum/detail/20066/52874_1.html,洗发水
00:32:09,15769288934892267,装净水器好不好,1,7,ks.cn.yahoo.com/question/1406051705248.html,净水器
00:33:45,6406363071518314,洗发水利润,12,10,mkt.icxo.com/htmlnews/2007/07/06/1156148.htm,洗发水
00:34:03,6406363071518314,洗发水利润,20,11,www.tones.com.cn/brm.htm,洗发水
00:34:09,15769288934892267,装净水器好不好,3,8,ks.cn.yahoo.com/question/1307051101207.html,净水器
00:34:14,6406363071518314,洗发水利润,20,12,www.tones.com.cn/brm.htm,洗发水
00:35:00,6406363071518314,洗发水利润,24,15,www.docrar.com/filelib/75038.doc,洗发水
