table,column,type,nullable,description
keyword,id,INTEGER,NO,主键ID
keyword,keyword,TEXT,NO,关键词文本，唯一
keyword,domain,TEXT,YES,业务域或分类
keyword,description,TEXT,YES,关键词说明
keyword,source,TEXT,YES,来源说明
intermediary_keyword,id,INTEGER,NO,主键ID
intermediary_keyword,seed_keyword,TEXT,NO,种子关键词
intermediary_keyword,mediator_keyword,TEXT,NO,中介关键词
intermediary_keyword,support_count,INTEGER,NO,支持次数
intermediary_keyword,query_count,INTEGER,NO,命中查询数
intermediary_keyword,global_frequency,INTEGER,NO,全局词频
intermediary_keyword,weight,REAL,NO,中介权重
competition_result,id,INTEGER,NO,主键ID
competition_result,seed_keyword,TEXT,NO,种子关键词
competition_result,candidate_keyword,TEXT,NO,竞争候选词
competition_result,competition_score,REAL,NO,竞争度分值
competition_result,rank_no,INTEGER,NO,排序名次
competition_result,evidence_source,TEXT,YES,证据来源
search_log,id,INTEGER,NO,主键ID
search_log,query_text,TEXT,NO,查询文本
search_log,matched_seed,TEXT,YES,命中的种子词
search_log,token_count,INTEGER,NO,分词数
search_log,query_time,TEXT,YES,查询时间
search_log,latency_ms,REAL,YES,响应耗时
search_log,source_file,TEXT,YES,来源文件
user_feedback,id,INTEGER,NO,主键ID
user_feedback,seed_keyword,TEXT,NO,种子关键词
user_feedback,candidate_keyword,TEXT,NO,候选关键词
user_feedback,feedback_score,INTEGER,NO,反馈评分
user_feedback,confidence,REAL,NO,置信度
user_feedback,note,TEXT,YES,备注
