tokenizer,method,eval_queries,recall@5,recall@10,mrr@10,coverage@10,avg_latency_no_cache_ms,avg_latency_cache_ms
jieba_precise,compkey_current,53,0.213134,0.249298,0.333753,1.000000,0.082406,0.008085
jieba_precise,cooccur_freq,53,0.246153,0.280744,0.349079,1.000000,0.090232,0.006302
jieba_precise,tfidf,53,0.232002,0.283889,0.345755,1.000000,0.083038,0.007874
jieba_precise,pmi,53,0.151139,0.190448,0.319078,1.000000,0.082449,0.008872
jieba_precise,bm25,53,0.172703,0.212011,0.319078,1.000000,0.154757,0.013049
jieba_search,compkey_current,53,0.352854,0.384974,0.652201,1.000000,0.094628,0.009189
jieba_search,cooccur_freq,53,0.370599,0.399125,0.657075,1.000000,0.145745,0.007200
jieba_search,tfidf,53,0.352854,0.395981,0.650786,1.000000,0.137974,0.020802
jieba_search,pmi,53,0.259210,0.303378,0.635325,1.000000,0.100085,0.009034
jieba_search,bm25,53,0.313022,0.341997,0.635325,1.000000,0.161079,0.013855
regex,compkey_current,53,0.132075,0.136792,0.125000,1.000000,0.087804,0.011077
regex,cooccur_freq,53,0.132075,0.136792,0.125000,1.000000,0.035006,0.005357
regex,tfidf,53,0.132075,0.136792,0.125000,1.000000,0.055991,0.004266
regex,pmi,53,0.132075,0.136792,0.125000,1.000000,0.050875,0.006319
regex,bm25,53,0.132075,0.136792,0.125000,1.000000,0.086315,0.011557
thulac,compkey_current,53,0.247799,0.321249,0.485115,1.000000,0.124636,0.013915
thulac,cooccur_freq,53,0.285220,0.343261,0.606918,1.000000,0.075398,0.007268
thulac,tfidf,53,0.269497,0.340117,0.494549,1.000000,0.097028,0.009087
thulac,pmi,53,0.143464,0.189241,0.453848,1.000000,0.157204,0.015981
thulac,bm25,53,0.199820,0.228122,0.453848,1.000000,0.196657,0.014211
