tokenizer,method,eval_queries,recall@5,recall@10,mrr@10,coverage@10,avg_latency_no_cache_ms,avg_latency_cache_ms
jieba_precise,compkey_current,53,0.213134,0.249298,0.333753,1.000000,0.124508,0.013426
jieba_precise,cooccur_freq,53,0.246153,0.280744,0.349079,1.000000,0.123032,0.010019
jieba_precise,tfidf,53,0.232002,0.283889,0.345755,1.000000,0.165934,0.020723
jieba_precise,pmi,53,0.151139,0.190448,0.319078,1.000000,0.150085,0.012387
jieba_precise,bm25,53,0.172703,0.212011,0.319078,1.000000,0.252904,0.019223
jieba_search,compkey_current,53,0.352854,0.384974,0.652201,1.000000,0.092525,0.009115
jieba_search,cooccur_freq,53,0.370599,0.399125,0.657075,1.000000,0.067085,0.006896
jieba_search,tfidf,53,0.352854,0.395981,0.650786,1.000000,0.102340,0.008587
jieba_search,pmi,53,0.259210,0.303378,0.635325,1.000000,0.089266,0.009245
jieba_search,bm25,53,0.313022,0.341997,0.635325,1.000000,0.129375,0.012706
regex,compkey_current,53,0.132075,0.136792,0.125000,1.000000,0.158408,0.011575
regex,cooccur_freq,53,0.132075,0.136792,0.125000,1.000000,0.084042,0.010130
regex,tfidf,53,0.132075,0.136792,0.125000,1.000000,0.071130,0.007508
regex,pmi,53,0.132075,0.136792,0.125000,1.000000,0.097972,0.007938
regex,bm25,53,0.132075,0.136792,0.125000,1.000000,0.091385,0.009304
thulac,compkey_current,53,0.247799,0.321249,0.485115,1.000000,0.193947,0.017691
thulac,cooccur_freq,53,0.285220,0.343261,0.606918,1.000000,0.155296,0.022677
thulac,tfidf,53,0.269497,0.340117,0.494549,1.000000,0.170558,0.015083
thulac,pmi,53,0.143464,0.189241,0.453848,1.000000,0.102581,0.009602
thulac,bm25,53,0.199820,0.228122,0.453848,1.000000,0.341491,0.041836
